"24"+26"+28"","24"+26"+28""
"#1 Jet Black","C1"
"#10","C10"
"#10/613","C10613"
"#118","C118"
"#12","C12"
"#18","C18"
"#1B Natural Black","C1B"
"#1B/27","C1B/27"
"#1B/30","C1B/30"
"#1B/27","C1B27"
"#1B/30","C1B30"
"#1B/33/27","C1B3327"
"#2 Darkest Brown","C2"
"#24 Sandy Blonde","C24"
"#27 Strawberry Blonde","C27"
"#27/613","C27613"
"#27A","C27A"
"#30 Auburn","C30"
"#33 Rich Copper Red","C33"
"#33Y","C33Y"
"#4 Chocolate Brown","C4"
"#4/27","C427"
"#60 Platium Blonde","C60"
"#613 Lightest Blonde","C613"
"#8 Light Brown","C8"
"#8/613","C8613"
"#99j","C99j"
"Blue","CBLUE"
"Green","CGreen"
"IIBLUE","CIIBLUE"
"IIGREEN","CIIGREEN"
"IIPURPLE","CIIPURPLE"
"IIYELLOW","CIIYELLOW"
"Orange","CORANGE"
"Pink","Cpink"
"Purple","CPurple"
"Red","Cred"
"The Same As Picture","Csame"
"10 Inch","L10"
"10 Inch(100g)","L10G10"
"10 Inch + 10 Inch + 12 Inch","L10W1012"
"10 Inch + 10 Inch + 12 Inch + 14 Inch","L10W1014"
"10 Inch + 12 Inch + 12 Inch","L10W12G20"
"10 Inch + 12 Inch + 12 Inch + 12 Inch","L10W12G30"
"10 Inch + 14 Inch + 16 Inch","L10W1416"
"10 Inch + 14 Inch + 16 Inch + 18 Inch","L10W1418"
"10 Inch + 14 Inch + 14 Inch","L10W14G20"
"10 Inch + 14 Inch + 14 Inch + 14 Inch","L10W14G30"
"10 Inch + 16 Inch + 18 Inch","L10W1618"
"10 Inch + 16 Inch + 18 Inch + 20 Inch","L10W1620"
"10 Inch + 16 Inch + 16 Inch","L10W16G20"
"10 Inch + 16 Inch + 16 Inch + 16 Inch","L10W16G30"
"10 Inch + 18 Inch + 20 Inch","L10W1820"
"10 Inch + 18 Inch + 20 Inch + 22 Inch","L10W1822"
"10 Inch + 18 Inch + 18 Inch","L10W18G20"
"10 Inch + 18 Inch + 18 Inch + 18 Inch","L10W18G30"
"10 Inch + 20 Inch + 22 Inch","L10W2022"
"10 Inch + 20 Inch + 22 Inch + 24 Inch","L10W2024"
"10 Inch + 20 Inch + 20 Inch","L10W20G20"
"10 Inch + 20 Inch + 20 Inch + 20 Inch","L10W20G30"
"12 Inch","L12"
"12 Inch(100g)","L12G10"
"12 Inch + 12 Inch + 14 Inch","L12W1214"
"12 Inch + 12 Inch + 14 Inch + 16 Inch","L12W1216"
"12 Inch + 14 Inch + 14 Inch","L12W14G20"
"12 Inch + 14 Inch + 14 Inch + 14 Inch","L12W14G30"
"12 Inch + 16 Inch + 18 Inch","L12W1618"
"12 Inch + 16 Inch + 18 Inch + 20 Inch","L12W1620"
"12 Inch + 16 Inch + 16 Inch","L12W16G20"
"12 Inch + 16 Inch + 16 Inch + 16 Inch","L12W16G30"
